rank,company,domain,url_guess,status
51,"Ryan Lawn & TreeMerriam, KS",ryanlawn.com,https://ryanlawn.com,ready
52,"DJ’s Landscape Management Grand Rapids, MI",djslandscape.com,https://djslandscape.com,ready
53,"Impact Landscaping & Irrigation Jupiter, FL",not batch-verified in this pass,,needs_domain_lookup
54,"The Greenery Hilton Head Island, SC",thegreeneryinc.com,https://thegreeneryinc.com,ready
55,"EMI Dublin, OH",not batch-verified in this pass,,needs_domain_lookup
56,"ABMColumbia, MD",not batch-verified in this pass,,needs_domain_lookup
57,"Creative Environments Design & Landscape Tempe, AZ",not batch-verified in this pass,,needs_domain_lookup
58,"American Landscape Cos.Canoga Park, CA",not batch-verified in this pass,,needs_domain_lookup
59,"Pacific Landscape Management Hillsboro, OR",not batch-verified in this pass,,needs_domain_lookup
60,"Chenmark Portland, ME",not batch-verified in this pass,,needs_domain_lookup
61,"SiteWorks Chandler, AZ",not batch-verified in this pass,,needs_domain_lookup
62,"AAA Landscape Phoenix, AZ",not batch-verified in this pass,,needs_domain_lookup
63,"SOI Group Frisco, TX",not batch-verified in this pass,,needs_domain_lookup
64,"Beary Landscaping Lockport, IL",not batch-verified in this pass,,needs_domain_lookup
65,"Teufel Nursery Hillsboro, OR",not batch-verified in this pass,,needs_domain_lookup
66,"Santa Rita LandscapingTucson, AZ",not batch-verified in this pass,,needs_domain_lookup
67,"Xquisite Landscaping Stoughton, MA",not batch-verified in this pass,,needs_domain_lookup
68,"Dupper Landscape Tempe, AZ",not batch-verified in this pass,,needs_domain_lookup
69,"Focal Pointe Caseyville, IL",not batch-verified in this pass,,needs_domain_lookup
70,"Harvest Landscape Enterprises Orange, CA",not batch-verified in this pass,,needs_domain_lookup
71,"Augusta Lawn Care Blaine, WA",not batch-verified in this pass,,needs_domain_lookup
72,"Perfect Cuts of Austin Austin, TX",not batch-verified in this pass,,needs_domain_lookup
73,"Earthtones Cos.Midlothian, TX",not batch-verified in this pass,,needs_domain_lookup
74,"Chapel Valley Landscape Co.Woodbine , MD",not batch-verified in this pass,,needs_domain_lookup
75,"Caretaker Landscape & Tree Management Gilbert, AZ",not batch-verified in this pass,,needs_domain_lookup
76,"Designscapes Colorado Centennial, CO",not batch-verified in this pass,,needs_domain_lookup
77,"Kline Bros. Landscaping Manahawkin , NJ",not batch-verified in this pass,,needs_domain_lookup
78,"Conserva Irrigation WGlen Allen, VA",not batch-verified in this pass,,needs_domain_lookup
79,"McHale Landscape DesignUpper Marlboro, MD",not batch-verified in this pass,,needs_domain_lookup
80,"Schumacher Cos.West Bridgewater, MA",not batch-verified in this pass,,needs_domain_lookup
81,"Unlimited Landscaping & Turf Management Suwanee, GA",not batch-verified in this pass,,needs_domain_lookup
82,"Heaven & Earth Landscaping Indian Trail, NC",not batch-verified in this pass,,needs_domain_lookup
83,"Landtech Contractors Aurora, CO",not batch-verified in this pass,,needs_domain_lookup
84,"Dennis’ Seven Dees Landscaping & Garden Centers Portland, OR",not batch-verified in this pass,,needs_domain_lookup
85,"Pierre LandscapeIrwindale, CA",not batch-verified in this pass,,needs_domain_lookup
86,"APHIX Frankfort, KY",not batch-verified in this pass,,needs_domain_lookup
87,"Southern Botanical Dallas, TX",not batch-verified in this pass,,needs_domain_lookup
88,"Frank & Grossman Landscape Contractors Hayward, CA",not batch-verified in this pass,,needs_domain_lookup
89,"Granite Hills Group Charlotte, N.C.",not batch-verified in this pass,,needs_domain_lookup
90,"Green Garden Group Downers Grove, IL",not batch-verified in this pass,,needs_domain_lookup
91,"Gras Lawn Lakewood , NJ",not batch-verified in this pass,,needs_domain_lookup
92,"Verde Property Services San Diego, CA",not batch-verified in this pass,,needs_domain_lookup
93,"KeyServ Co.Fernandina , FL",not batch-verified in this pass,,needs_domain_lookup
94,"Andre Landscape Service Azusa, CA",not batch-verified in this pass,,needs_domain_lookup
95,"Environmental Landworks Co.Golden, CO",not batch-verified in this pass,,needs_domain_lookup
96,"Service Direct Landscape Phoenix, AZ",not batch-verified in this pass,,needs_domain_lookup
97,"Earthworks Lillian, TX",not batch-verified in this pass,,needs_domain_lookup
98,"Valor Landscape Aurora, CO",not batch-verified in this pass,,needs_domain_lookup
99,"Cherrylake Groveland, FL",not batch-verified in this pass,,needs_domain_lookup
100,"Scott Byron & Co.Lake Bluff, IL",not batch-verified in this pass,,needs_domain_lookup
101,"Merchants Landscape Services Santa Ana, CA",not batch-verified in this pass,,needs_domain_lookup
102,"Steadfast Contractors Alliance San Antonio, FL",not batch-verified in this pass,,needs_domain_lookup
103,"Christy Webber & Co.Chicago, IL",not batch-verified in this pass,,needs_domain_lookup
104,"Great Oaks Landscape Associates Novi, MI",not batch-verified in this pass,,needs_domain_lookup
105,"Stay Green Santa Clarita, CA",not batch-verified in this pass,,needs_domain_lookup
106,"Urban Dirt Austin, TX",not batch-verified in this pass,,needs_domain_lookup
107,"Gibson Landscape Alpharetta, GA",not batch-verified in this pass,,needs_domain_lookup
108,"American Landscape Systems Lewisville, TX",not batch-verified in this pass,,needs_domain_lookup
109,"The Bruce Co. of Wisconsin Middleton, WI",not batch-verified in this pass,,needs_domain_lookup
110,"Naturescape Muskego, WI",not batch-verified in this pass,,needs_domain_lookup
111,"Saluda Hill Landscapes Lexington, SC",not batch-verified in this pass,,needs_domain_lookup
112,"DLC Resources Phoenix, AZ",not batch-verified in this pass,,needs_domain_lookup
113,"Urban Habitat Palm Desert, CA",not batch-verified in this pass,,needs_domain_lookup
114,"Chalet Wilmette, IL",not batch-verified in this pass,,needs_domain_lookup
115,"Level Green Landscape Upper Marlboro, MD",not batch-verified in this pass,,needs_domain_lookup
116,"Winterberry Southington, CT",not batch-verified in this pass,,needs_domain_lookup
117,"The Joyce Cos. Marstons Mills, MA",not batch-verified in this pass,,needs_domain_lookup
118,"Michael Hatcher & Associates Olive Branch, MS",not batch-verified in this pass,,needs_domain_lookup
119,"Green Lawn FertilizingWest Chester, PA",not batch-verified in this pass,,needs_domain_lookup
120,"Landry’s Professional Lawn & Landscape Baton Rouge, LA",not batch-verified in this pass,,needs_domain_lookup
121,"Realty LandscapingYardley, PA",not batch-verified in this pass,,needs_domain_lookup
122,"David J. Frank Landscape Contracting Germantown, WI",not batch-verified in this pass,,needs_domain_lookup
123,"Utz Environmental Services of Austin Leander, TX",not batch-verified in this pass,,needs_domain_lookup
124,"Green Leaf Group Raleigh, NC",not batch-verified in this pass,,needs_domain_lookup
125,"Timberline Landscaping Colorado Springs, CO",not batch-verified in this pass,,needs_domain_lookup
126,"Mountain View Landscapes Chicopee, MA",not batch-verified in this pass,,needs_domain_lookup
127,"Hittle Landscaping Westfield, IN",not batch-verified in this pass,,needs_domain_lookup
128,"Texas Land CareDallas, TX",not batch-verified in this pass,,needs_domain_lookup
129,"Todd’s Services Hamburg, MI",not batch-verified in this pass,,needs_domain_lookup
130,"Complete Landsculpture Dallas, TX",not batch-verified in this pass,,needs_domain_lookup
131,"LEI Boylston, MA",not batch-verified in this pass,,needs_domain_lookup
132,"Integrity Landscape Morgan Hill, CA",not batch-verified in this pass,,needs_domain_lookup
133,"Genesis Landscape SolutionsMesa, AZ",not batch-verified in this pass,,needs_domain_lookup
134,"Growing Seasons Landscaping Canonsburg, PA",not batch-verified in this pass,,needs_domain_lookup
135,"HighGrove Partners Austell, GA",not batch-verified in this pass,,needs_domain_lookup
136,"Roebuck Landscaping Roebuck, SC",not batch-verified in this pass,,needs_domain_lookup
137,"GreenView Partners Raleigh, NC",not batch-verified in this pass,,needs_domain_lookup
138,"Art By Nature Granite Falls, WA",not batch-verified in this pass,,needs_domain_lookup
139,"Franz Witte Landscape Contractors Nampa, ID",not batch-verified in this pass,,needs_domain_lookup
140,"North American Lawn & Landscape Charlotte, NC",not batch-verified in this pass,,needs_domain_lookup
141,"Earthco Landscape Santa Ana, CA",not batch-verified in this pass,,needs_domain_lookup
142,"Mullin Saint Rose, LA",not batch-verified in this pass,,needs_domain_lookup
143,"Next to Nature Landscape Olathe, KS",not batch-verified in this pass,,needs_domain_lookup
144,"Clarence Davids & Co.Matteson, IL",not batch-verified in this pass,,needs_domain_lookup
145,"Nature Care Santa Ana, CA",not batch-verified in this pass,,needs_domain_lookup
146,"Pro Cutters Lawnscapes Conyers, GA",not batch-verified in this pass,,needs_domain_lookup
147,"Hidden Creek Landscaping Hilliard, OH",not batch-verified in this pass,,needs_domain_lookup
148,"Greenshade Trees Oklahoma City, OK",not batch-verified in this pass,,needs_domain_lookup
149,"Sposato Landscape Co.Milton, DE",not batch-verified in this pass,,needs_domain_lookup
150,"Greener Group Lowell, MA",not batch-verified in this pass,,needs_domain_lookup
151,Full Circle Lawn Care,www.fullcirclelawncare.com,https://www.fullcirclelawncare.com,ready
152,CP Landscaping,www.cplandscapingaz.com,https://www.cplandscapingaz.com,ready
153,Cross States Landscape,www.crossstateslandscape.com,https://www.crossstateslandscape.com,ready
154,Legacy Lawn & Landscape,www.legacylawnlandscape.com,https://www.legacylawnlandscape.com,ready
155,Homes Landscaping,www.homes-landscaping.com,https://www.homes-landscaping.com,ready
156,Cano's Landscaping,www.canoslandscaping.com,https://www.canoslandscaping.com,ready
157,K.O. Landscaping,www.kolandscapingnc.com,https://www.kolandscapingnc.com,ready
158,Page Precision Cuts,www.pageprecisioncuts.com,https://www.pageprecisioncuts.com,ready
159,Total Estate Care,jrzmarketing.wixsite.com,https://jrzmarketing.wixsite.com,ready
160,The Garden Gates,www.thegardengateslandscapecompany.com,https://www.thegardengateslandscapecompany.com,ready
161,Hallgren Landscaping,www.hallgrenlandscaping.com,https://www.hallgrenlandscaping.com,ready
162,Great Lakes Landscaping,www.greatlakeslandscapingllc.com,https://www.greatlakeslandscapingllc.com,ready
163,Four's Landscaping,fourslandscapingll.wixstudio.com,https://fourslandscapingll.wixstudio.com,ready
164,Southern Elegance Landscaping,www.southernelegancelandscaping.com,https://www.southernelegancelandscaping.com,ready
165,Landscaping Jents,www.landscapingjents.com,https://www.landscapingjents.com,ready
166,H&M Landscaping LLC,www.handmlandscaping.com,https://www.handmlandscaping.com,ready
167,Lawngevity Landscapes,www.lawngevitylandscapes.com,https://www.lawngevitylandscapes.com,ready
168,Talley Landscape Architects,www.talleyla.com,https://www.talleyla.com,ready
169,Earthbound,www.earthbounddesigns.com,https://www.earthbounddesigns.com,ready
170,Branch Out Landscape,branchoutlandscapes.com,https://branchoutlandscapes.com,ready
171,Hoffman Design Group,www.hoffmandesigngroup.com,https://www.hoffmandesigngroup.com,ready
172,GMC Landscapes,www.gmc-landscapes.com,https://www.gmc-landscapes.com,ready
173,Elizabeth Pena Landscape Designer,elizabethpenalandscapedesigner.com,https://elizabethpenalandscapedesigner.com,ready
174,JC Landscapes LLC,www.jclandscapesllc.com,https://www.jclandscapesllc.com,ready
175,Huntergreen,www.huntergreen.nyc,https://www.huntergreen.nyc,ready
176,Rainforest LA,www.rainforestla.com,https://www.rainforestla.com,ready
177,Lawn More Gainesville,www.lawnmoregainesville.com,https://www.lawnmoregainesville.com,ready
178,Greenscapes Nursery & Garden Shoppe,greenscapesnursery.com,https://greenscapesnursery.com,ready
179,Brauss Lawn Service,brausslawnservice.com,https://brausslawnservice.com,ready
180,Outside Landscape Group,www.outsidelandscapegroup.com,https://www.outsidelandscapegroup.com,ready
181,Hess Landscape Architects,www.hessla.com,https://www.hessla.com,ready
182,De Leon Landscapes Co.,www.deleonlandscapes.com,https://www.deleonlandscapes.com,ready
183,Smith Lawn and Landscape,www.smithlawn.net,https://www.smithlawn.net,ready
184,Barkman Landscaping,www.barkmanlandscaping.com,https://www.barkmanlandscaping.com,ready
185,Adam Robinson Design,www.adamrobinsondesign.com,https://www.adamrobinsondesign.com,ready
186,Chris Curtis Landscapes,www.chriscurtislandscapes.com,https://www.chriscurtislandscapes.com,ready
187,Janet Moyer Landscaping,jml-landscapes.com,https://jml-landscapes.com,ready
188,Francisco's Gardening and Maintenance,www.fgandm.com,https://www.fgandm.com,ready
189,LEAF Landscaping,www.leaflandscaping.net,https://www.leaflandscaping.net,ready
190,All Terrain Landscaping,atpslandscaping.com,https://atpslandscaping.com,ready
191,GrassPerson,www.grassperson.com,https://www.grassperson.com,ready
192,No Mow Worries,nomowworriesco.com,https://nomowworriesco.com,ready
193,Spruce Lawn Care,www.sprucelawncareservice.com,https://www.sprucelawncareservice.com,ready
194,Southern Cut Lawns,southerncut.com,https://southerncut.com,ready
195,HAM Landscaping,hamlandscaping.com,https://hamlandscaping.com,ready
196,Yardworx Lawn and Landscape,www.yardworxlincoln.com,https://www.yardworxlincoln.com,ready
197,Cacti Landscapes,cactilandscape.com,https://cactilandscape.com,ready
198,Kingstowne Lawn & Landscape,www.kingstownelawn.com,https://www.kingstownelawn.com,ready
199,For Garden's Sake,fgsdurham.com,https://fgsdurham.com,ready
200,Gardens of Babylon Landscapes,gardensofbabylon.com,https://gardensofbabylon.com,ready
